revision,layer,group_family,group,n,mean_curvature,mean_entropy,mean_speed,curvature_entropy_pearson
step128,5,all,all,2478,2.101690053699284,8.240045052860609,15.987824989962327,-0.01964064734655475
step128,5,token_class,other,18,2.0864151981141834,9.033715671963161,15.114405102199978,0.13669169847770746
step128,5,token_class,punctuation,9,2.103961375024584,9.989276674058702,16.82126299540202,0.06186612663615263
step128,5,token_class,word_piece_continuation,205,2.1025719793831428,8.826027321233981,15.314077484316941,0.04306672603791926
step128,5,token_class,word_start,2246,2.1017228723740002,8.173190413167301,16.052980312575002,-0.02294403982856194
step128,5,punct_kind,contains_other_punct,18,2.0864151981141834,9.033715671963161,15.114405102199978,0.13669169847770746
step128,5,punct_kind,no_punct,2069,2.101594878199482,8.180919844396106,16.023293124125626,-0.03519884126637112
step128,5,punct_kind,other_punct_only,254,2.106348423976598,9.259651544525868,15.735904945163277,-0.005755349399170865
step128,5,punct_kind,sentence_punct_only,137,2.0964976409926033,7.138321960059396,16.033997835034,0.06467699534482721
step128,5,sentence_zone,after_sentence_13_plus,483,2.096039146616839,8.124218217581202,16.23338638526806,-0.10215970162877995
step128,5,sentence_zone,after_sentence_1_3,538,2.103733171539236,8.509337012209414,15.853210950872713,0.034068419993474416
step128,5,sentence_zone,after_sentence_4_12,842,2.100825951529795,8.25910622833602,16.051382932413784,-0.009825834340093459
step128,5,sentence_zone,sentence_punct_token,137,2.0964976409926033,7.138321960059396,16.033997835034,0.06467699534482721
step128,5,sentence_zone,unknown_before_first_boundary,478,2.1081108179052506,8.336178612010748,15.766014805398726,-0.04962933506043781
step128,5,position_bin,tok_006_019,448,2.103100486365812,8.490565273378577,15.465529314109258,-0.050413326333415026
step128,5,position_bin,tok_020_049,960,2.1010626958062253,8.25347808599472,15.990517765283585,0.0013619067068428858
step128,5,position_bin,tok_050_099,1050,2.1026710034552076,8.123663024703662,16.18829072679792,-0.022596739455563255
step128,5,position_bin,tok_100_plus,20,2.048709678649902,8.093663001060486,17.033543729782103,-0.1942593839370594
step128,5,surface_combo,other|contains_other_punct|after_sentence_13_plus|tok_020_049,1,2.076143980026245,9.053667068481445,15.244002342224121,nan
step128,5,surface_combo,other|contains_other_punct|after_sentence_13_plus|tok_050_099,4,2.0791335701942444,8.940207481384277,15.336129665374756,-0.6723797828482511
step128,5,surface_combo,other|contains_other_punct|after_sentence_1_3|tok_006_019,1,2.1018311977386475,9.185190200805664,14.83135986328125,nan
step128,5,surface_combo,other|contains_other_punct|after_sentence_1_3|tok_020_049,1,2.0712125301361084,8.984359741210938,15.713340759277344,nan
step128,5,surface_combo,other|contains_other_punct|after_sentence_1_3|tok_050_099,1,2.0463640689849854,8.940610885620117,13.666483879089355,nan
step128,5,surface_combo,other|contains_other_punct|after_sentence_4_12|tok_020_049,3,2.124635934829712,9.02180544535319,15.204774538675943,0.3834005491592649
step128,5,surface_combo,other|contains_other_punct|after_sentence_4_12|tok_050_099,3,2.0794939200083413,8.900861104329428,14.733722686767578,0.9934052461859486
step128,5,surface_combo,other|contains_other_punct|unknown_before_first_boundary|tok_006_019,3,2.0821872552235923,9.302091280619303,15.248172760009766,0.8963339063453908
step128,5,surface_combo,other|contains_other_punct|unknown_before_first_boundary|tok_020_049,1,2.0844361782073975,9.007950782775879,15.699576377868652,nan
step128,5,surface_combo,punctuation|other_punct_only|after_sentence_13_plus|tok_020_049,2,2.055830717086792,9.968324661254883,16.47659921646118,-1.0
step128,5,surface_combo,punctuation|other_punct_only|after_sentence_13_plus|tok_050_099,2,2.24721622467041,9.987700939178467,17.381683826446533,-1.0
step128,5,surface_combo,punctuation|other_punct_only|after_sentence_4_12|tok_020_049,2,2.0357794165611267,9.96268367767334,15.514300346374512,-1.0
step128,5,surface_combo,punctuation|other_punct_only|after_sentence_4_12|tok_050_099,2,2.0413594245910645,9.985490322113037,17.1879825592041,-1.0
step128,5,surface_combo,punctuation|other_punct_only|unknown_before_first_boundary|tok_020_049,1,2.175280809402466,10.095090866088867,18.270235061645508,nan
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_020_049,19,2.081499745971278,8.889132047954359,14.873879583258377,0.056245667507622735
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_050_099,38,2.1140997849012675,8.671891977912502,15.526854966816149,0.0268772807686757
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_13_plus|tok_100_plus,4,2.060540020465851,8.518139481544495,16.066144466400146,-0.27953598893612974
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_006_019,5,2.087365961074829,9.408808708190918,14.399837303161622,0.6654303507923319
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_020_049,16,2.1195285320281982,8.86542809009552,15.093318283557892,0.2880737667422409
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_1_3|tok_050_099,15,2.107848787307739,9.001082706451417,15.329639371236166,0.10387371487449745
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_006_019,4,2.1066027879714966,9.247838616371155,15.583225727081299,0.5791657611098711
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_020_049,37,2.095619849256567,8.848391030285809,15.193982356303447,0.18122490366935984
step128,5,surface_combo,word_piece_continuation|no_punct|after_sentence_4_12|tok_050_099,37,2.096920683577254,8.836265899039603,15.475441803803315,0.049906216316227034
step128,5,surface_combo,word_piece_continuation|no_punct|unknown_before_first_boundary|tok_006_019,21,2.1126648698534285,8.98266551608131,14.835277284894671,-0.0005540420326463966
step128,5,surface_combo,word_piece_continuation|no_punct|unknown_before_first_boundary|tok_020_049,9,2.1130463812086315,8.107874287499321,16.713090684678818,-0.39573188017363553
