model,seed,backend,n_bindings,query_delay,distractor_rate,value_collision,recall_accuracy,recall_loss
mg,1,triton,8,16,0.6,False,0.4208984375,1.9773407578468323
mg,1,triton,8,16,0.6,True,0.4375,1.959190547466278
mg,1,triton,8,32,0.0,False,0.7607421875,0.895791307091713
mg,1,triton,8,32,0.0,True,0.75,0.9315203577280045
mg,1,triton,8,32,0.3,False,0.4541015625,1.8746411800384521
mg,1,triton,8,32,0.3,True,0.458984375,1.8393549919128418
mg,1,triton,8,32,0.6,False,0.251953125,2.601719379425049
mg,1,triton,8,32,0.6,True,0.24609375,2.596597671508789
mg,1,triton,8,64,0.0,False,0.5166015625,1.700827032327652
mg,1,triton,8,64,0.0,True,0.51953125,1.7112271189689636
mg,1,triton,8,64,0.3,False,0.181640625,2.966320037841797
mg,1,triton,8,64,0.3,True,0.171875,2.9034671783447266
mg,1,triton,8,64,0.6,False,0.1103515625,3.1679611206054688
mg,1,triton,8,64,0.6,True,0.1337890625,3.1757850646972656
mg,2,triton,1,8,0.0,False,0.994140625,0.028919109958224
mg,2,triton,1,8,0.0,True,0.99609375,0.023296985775232315
mg,2,triton,1,8,0.3,False,0.99609375,0.03423411399126053
mg,2,triton,1,8,0.3,True,0.998046875,0.03338627703487873
mg,2,triton,1,8,0.6,False,0.9814453125,0.09296809509396553
mg,2,triton,1,8,0.6,True,0.986328125,0.0891028568148613
mg,2,triton,1,16,0.0,False,0.9951171875,0.0224274096544832
mg,2,triton,1,16,0.0,True,0.9931640625,0.030154292937368155
mg,2,triton,1,16,0.3,False,0.9892578125,0.0776545712724328
mg,2,triton,1,16,0.3,True,0.990234375,0.05594868026673794
mg,2,triton,1,16,0.6,False,0.9609375,0.18544470518827438
mg,2,triton,1,16,0.6,True,0.95703125,0.19781572371721268
mg,2,triton,1,32,0.0,False,0.9951171875,0.02431573485955596
mg,2,triton,1,32,0.0,True,0.986328125,0.05797591246664524
mg,2,triton,1,32,0.3,False,0.974609375,0.1163674108684063
mg,2,triton,1,32,0.3,True,0.9794921875,0.09807194583117962
mg,2,triton,1,32,0.6,False,0.90625,0.3395696431398392
mg,2,triton,1,32,0.6,True,0.912109375,0.32604943960905075
mg,2,triton,1,64,0.0,False,0.990234375,0.06760940793901682
mg,2,triton,1,64,0.0,True,0.9892578125,0.07229315489530563
mg,2,triton,1,64,0.3,False,0.861328125,0.4902725964784622
mg,2,triton,1,64,0.3,True,0.87109375,0.47441044449806213
mg,2,triton,1,64,0.6,False,0.7080078125,1.0076085925102234
mg,2,triton,1,64,0.6,True,0.6943359375,1.024166315793991
mg,2,triton,2,8,0.0,False,0.95703125,0.1690989937633276
mg,2,triton,2,8,0.0,True,0.94921875,0.19287674874067307
mg,2,triton,2,8,0.3,False,0.9501953125,0.20256346091628075
mg,2,triton,2,8,0.3,True,0.95703125,0.17050359398126602
mg,2,triton,2,8,0.6,False,0.9443359375,0.23350544646382332
mg,2,triton,2,8,0.6,True,0.931640625,0.26106446236371994
mg,2,triton,2,16,0.0,False,0.9443359375,0.21050125733017921
mg,2,triton,2,16,0.0,True,0.9501953125,0.19250206649303436
mg,2,triton,2,16,0.3,False,0.9560546875,0.19077325239777565
mg,2,triton,2,16,0.3,True,0.947265625,0.2237486019730568
mg,2,triton,2,16,0.6,False,0.90234375,0.38934656977653503
mg,2,triton,2,16,0.6,True,0.9345703125,0.3013639822602272
mg,2,triton,2,32,0.0,False,0.9560546875,0.17225464433431625
mg,2,triton,2,32,0.0,True,0.955078125,0.17654691636562347
mg,2,triton,2,32,0.3,False,0.9287109375,0.29097526520490646
mg,2,triton,2,32,0.3,True,0.923828125,0.2996651977300644
mg,2,triton,2,32,0.6,False,0.87890625,0.4497929736971855
mg,2,triton,2,32,0.6,True,0.873046875,0.45734889060258865
mg,2,triton,2,64,0.0,False,0.9453125,0.2296522855758667
mg,2,triton,2,64,0.0,True,0.943359375,0.23267758637666702
mg,2,triton,2,64,0.3,False,0.8125,0.6664820313453674
mg,2,triton,2,64,0.3,True,0.8896484375,0.44724637269973755
mg,2,triton,2,64,0.6,False,0.6728515625,1.120067536830902
mg,2,triton,2,64,0.6,True,0.744140625,0.8670547604560852
mg,2,triton,4,8,0.0,False,0.8583984375,0.5214740261435509
mg,2,triton,4,8,0.0,True,0.8720703125,0.4816588908433914
mg,2,triton,4,8,0.3,False,0.8671875,0.5128332898020744
mg,2,triton,4,8,0.3,True,0.861328125,0.521025538444519
mg,2,triton,4,8,0.6,False,0.8642578125,0.5283403769135475
mg,2,triton,4,8,0.6,True,0.8603515625,0.5409625470638275
mg,2,triton,4,16,0.0,False,0.8662109375,0.4962456375360489
mg,2,triton,4,16,0.0,True,0.8681640625,0.4949714243412018
mg,2,triton,4,16,0.3,False,0.8701171875,0.49931424111127853
mg,2,triton,4,16,0.3,True,0.8642578125,0.5222790762782097
mg,2,triton,4,16,0.6,False,0.826171875,0.6890493631362915
mg,2,triton,4,16,0.6,True,0.8388671875,0.6395967453718185
mg,2,triton,4,32,0.0,False,0.86328125,0.5339075773954391
mg,2,triton,4,32,0.0,True,0.8388671875,0.587708979845047
mg,2,triton,4,32,0.3,False,0.8408203125,0.6066357791423798
mg,2,triton,4,32,0.3,True,0.87109375,0.5116042047739029
mg,2,triton,4,32,0.6,False,0.78125,0.8393831551074982
mg,2,triton,4,32,0.6,True,0.794921875,0.7457462400197983
mg,2,triton,4,64,0.0,False,0.83984375,0.6006977260112762
mg,2,triton,4,64,0.0,True,0.837890625,0.6286791861057281
mg,2,triton,4,64,0.3,False,0.7431640625,0.9322012662887573
mg,2,triton,4,64,0.3,True,0.7451171875,0.9237314313650131
mg,2,triton,4,64,0.6,False,0.6259765625,1.3558247089385986
mg,2,triton,4,64,0.6,True,0.626953125,1.3208189606666565
mg,2,triton,8,8,0.0,False,0.7373046875,0.9621181339025497
mg,2,triton,8,8,0.0,True,0.720703125,1.030921384692192
mg,2,triton,8,8,0.3,False,0.705078125,1.0887590050697327
mg,2,triton,8,8,0.3,True,0.7060546875,1.0796206891536713
mg,2,triton,8,8,0.6,False,0.701171875,1.1288909018039703
mg,2,triton,8,8,0.6,True,0.69921875,1.1201640963554382
mg,2,triton,8,16,0.0,False,0.7197265625,1.013327643275261
mg,2,triton,8,16,0.0,True,0.70703125,1.0794850885868073
mg,2,triton,8,16,0.3,False,0.701171875,1.1197737753391266
mg,2,triton,8,16,0.3,True,0.6943359375,1.1451297253370285
mg,2,triton,8,16,0.6,False,0.6845703125,1.2007030844688416
mg,2,triton,8,16,0.6,True,0.666015625,1.2390884459018707
mg,2,triton,8,32,0.0,False,0.7001953125,1.111078828573227
mg,2,triton,8,32,0.0,True,0.69921875,1.1087776720523834
mg,2,triton,8,32,0.3,False,0.6826171875,1.1840101480484009
mg,2,triton,8,32,0.3,True,0.6826171875,1.1874684393405914
mg,2,triton,8,32,0.6,False,0.6484375,1.2653022408485413
mg,2,triton,8,32,0.6,True,0.66015625,1.2969467043876648
mg,2,triton,8,64,0.0,False,0.6767578125,1.2074664235115051
mg,2,triton,8,64,0.0,True,0.7021484375,1.1495432257652283
mg,2,triton,8,64,0.3,False,0.568359375,1.5267984867095947
mg,2,triton,8,64,0.3,True,0.5966796875,1.4640600681304932
mg,2,triton,8,64,0.6,False,0.4697265625,1.866215467453003
mg,2,triton,8,64,0.6,True,0.48828125,1.7940619885921478
mg,3,triton,1,8,0.0,False,0.9970703125,0.018942371709272265
mg,3,triton,1,8,0.0,True,0.9931640625,0.02785601234063506
mg,3,triton,1,8,0.3,False,0.9990234375,0.024065859615802765
mg,3,triton,1,8,0.3,True,0.9970703125,0.02788085024803877
mg,3,triton,1,8,0.6,False,0.9873046875,0.07327375188469887
mg,3,triton,1,8,0.6,True,0.9931640625,0.06425260566174984
mg,3,triton,1,16,0.0,False,0.9951171875,0.024712336249649525
mg,3,triton,1,16,0.0,True,0.99609375,0.032102197874337435
mg,3,triton,1,16,0.3,False,0.9921875,0.04371468722820282
mg,3,triton,1,16,0.3,True,0.994140625,0.04208322707563639
mg,3,triton,1,16,0.6,False,0.974609375,0.11714139208197594
mg,3,triton,1,16,0.6,True,0.978515625,0.12104451842606068
mg,3,triton,1,32,0.0,False,0.990234375,0.06520154234021902
mg,3,triton,1,32,0.0,True,0.9931640625,0.0353043032810092
mg,3,triton,1,32,0.3,False,0.9755859375,0.1162816658616066
mg,3,triton,1,32,0.3,True,0.9833984375,0.09852040186524391
mg,3,triton,1,32,0.6,False,0.919921875,0.3125082068145275
mg,3,triton,1,32,0.6,True,0.9267578125,0.29436490684747696
mg,3,triton,1,64,0.0,False,0.9833984375,0.1142500638961792
mg,3,triton,1,64,0.0,True,0.982421875,0.1200101412832737
mg,3,triton,1,64,0.3,False,0.80078125,0.7002262622117996
mg,3,triton,1,64,0.3,True,0.822265625,0.5921302437782288
mg,3,triton,1,64,0.6,False,0.6279296875,1.2295397520065308
mg,3,triton,1,64,0.6,True,0.66015625,1.1636508107185364
mg,3,triton,2,8,0.0,False,0.947265625,0.20520640537142754
mg,3,triton,2,8,0.0,True,0.939453125,0.22625109925866127
mg,3,triton,2,8,0.3,False,0.9541015625,0.1838487684726715
mg,3,triton,2,8,0.3,True,0.9501953125,0.1950506903231144
mg,3,triton,2,8,0.6,False,0.951171875,0.21348647214472294
mg,3,triton,2,8,0.6,True,0.935546875,0.2542334906756878
mg,3,triton,2,16,0.0,False,0.95703125,0.16960343718528748
